"Geographic Area Name (NAME)","2012 NAICS code (NAICS2012)","Meaning of NAICS code (NAICS2012_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Paid employees for pay period including March 12 (number) (EMP)","First-quarter payroll ($1,000) (PAYQTR1)","Annual payroll ($1,000) (PAYANN)"
"Illinois","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","2,290","72,088","307,205","1,315,049"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","501","16,856","73,548","316,130"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","1,245","37,653","159,606","688,440"
"Illinois","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","448","14,587","61,944","259,540"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","96","2,992","12,107","50,939"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","51","3,984","17,996","72,365"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","921","60,949","285,285","1,205,183"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","349","23,307","110,742","459,127"
"Illinois","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","237","15,160","74,793","328,683"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","284","18,498","81,754","345,008"
"Illinois","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","86","11,238","64,113","266,990"
"Illinois","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","9","1,284","7,750","32,518"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","226","29,616","163,623","716,860"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","78","10,295","59,719","279,504"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","53","6,799","32,041","137,848"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","6","1,000 to 2,499 employees","D","D"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","2","500 to 999 employees","D","D"
"Illinois","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","9","2,886","13,599","57,985"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","563","7,041","23,284","100,365"
"Indiana","722511","Full-service restaurants","Partnerships","All establishments","2016","846","24,692","89,354","382,099"
"Indiana","722511","Full-service restaurants","Non-profit","All establishments","2016","3","24","50","227"
"Indiana","722511","Full-service restaurants","All establishments","All establishments","2016","4,570","112,343","412,227","1,758,379"
"Indiana","722511","Full-service restaurants","Corporations","All establishments","2016","991","33,507","132,595","547,892"
"Indiana","722511","Full-service restaurants","S-corporations","All establishments","2016","2,160","46,853","165,441","720,875"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","7","226","1,503","6,921"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","1,017","1,591","5,624","59,858"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","266","449","1,337","11,163"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","191","238","712","13,063"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","199","331","1,332","10,542"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","360","573","2,243","24,816"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","329","2,323","7,858","34,670"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","116","784","2,337","9,615"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","125","858","2,858","12,829"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","701","4,847","15,348","66,231"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","129","867","2,240","8,897"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","2","0 to 19 employees","D","D"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","910","12,940","44,699","191,450"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","79","1,070","2,711","12,072"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","570","8,186","29,115","124,068"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","128","1,790","5,835","24,648"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","130","1,857","6,936","30,233"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 10 to 19 employees","2016","1","0 to 19 employees","D","D"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","245","8,546","32,324","132,889"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 20 to 49 employees","2016","2","20 to 99 employees","D","D"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","737","23,356","79,353","338,074"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","54","1,612","4,381","18,417"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","1,257","41,182","146,100","612,617"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","219","7,583","29,302","119,899"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","25","1,820","7,489","28,856"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2016","2","100 to 249 employees","D","D"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","576","38,110","146,267","600,907"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","143","9,560","35,582","147,412"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","169","11,259","40,481","170,890"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","237","15,358","62,059","250,862"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","23","3,038","10,687","43,984"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","10","1,223","5,126","20,960"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","55","6,557","27,086","110,537"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","20","2,590","10,710","48,275"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","108","13,408","53,609","223,756"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","1","250 to 499 employees","D","D"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Indiana","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Partnerships","All establishments","2016","517","10,658","38,595","166,379"
"Iowa","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","513","4,359","11,030","48,982"
"Iowa","722511","Full-service restaurants","S-corporations","All establishments","2016","991","19,688","66,757","290,387"
"Iowa","722511","Full-service restaurants","Corporations","All establishments","2016","449","11,843","45,023","183,227"
"Iowa","722511","Full-service restaurants","All establishments","All establishments","2016","2,472","46,557","161,417","689,029"
"Iowa","722511","Full-service restaurants","Non-profit","All establishments","2016","2","0 to 19 employees","D","D"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","77","126","421","4,344"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","242","413","1,048","7,259"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","192","322","1,324","11,434"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","145","187","615","8,160"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","657","1,050","3,410","31,208"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","70","479","1,767","7,263"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","165","1,115","3,763","16,198"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","440","2,977","8,606","36,500"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","79","542","1,195","5,456"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","125","834","1,871","7,540"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","96","1,303","3,550","15,785"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","105","1,393","2,832","12,200"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","115","1,727","5,178","21,915"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","567","7,946","23,008","100,316"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","251","3,523","11,448","50,416"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","30","812","1,671","7,505"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","112","3,527","11,888","47,838"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","134","4,471","15,247","63,996"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","304","9,118","29,727","127,305"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","580","17,928","58,533","246,644"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","203","13,553","54,972","221,440"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","61","3,937","17,182","69,806"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","11","907","3,608","14,478"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","70","4,381","15,450","63,448"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","61","4,328","18,732","73,708"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","14","1,656","7,037","28,159"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","9","1,229","5,045","21,586"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","2","100 to 249 employees","D","D"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","25","3,103","12,888","52,921"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Iowa","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Non-profit","All establishments","2016","3","21","36","143"
"Kansas","722511","Full-service restaurants","S-corporations","All establishments","2016","726","17,267","63,929","264,622"
"Kansas","722511","Full-service restaurants","Partnerships","All establishments","2016","496","11,616","41,347","183,569"
"Kansas","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","493","5,206","16,718","68,078"
"Kansas","722511","Full-service restaurants","Corporations","All establishments","2016","422","12,922","52,342","213,015"
"Kansas","722511","Full-service restaurants","All establishments","All establishments","2016","2,140","47,032","174,372","729,427"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","564","894","3,038","25,439"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","231","367","996","5,623"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","119","194","798","6,849"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","130","188","573","8,112"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","83","144","669","4,848"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","124","826","2,025","7,941"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","1","0 to 19 employees","D","D"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 5 to 9 employees","2016","109","756","2,561","10,544"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","365","2,458","7,355","29,731"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","61","398","1,498","6,136"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","70","472","1,262","5,062"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 10 to 19 employees","2016","1","0 to 19 employees","D","D"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 10 to 19 employees","2016","63","882","3,217","12,837"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2016","406","5,698","17,911","74,070"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2016","96","1,323","3,781","15,746"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 10 to 19 employees","2016","170","2,441","8,231","34,280"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2016","76","1,038","2,657","11,119"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2016","512","16,115","56,354","232,512"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 20 to 49 employees","2016","233","7,087","25,901","105,686"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2016","126","4,063","14,146","57,690"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 20 to 49 employees","2016","121","4,007","13,535","57,845"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 20 to 49 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2016","32","958","2,772","11,291"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 50 to 99 employees","2016","78","5,344","22,731","89,925"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2016","257","17,165","69,112","285,059"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 50 to 99 employees","2016","86","5,636","21,838","87,019"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2016","63","4,168","16,275","76,011"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2016","30","2,017","8,268","32,104"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 100 to 249 employees","2016","16","2,147","10,692","41,424"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2016","36","4,702","20,602","82,616"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 100 to 249 employees","2016","9","1,153","4,600","20,244"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2016","11","1,402","5,310","20,948"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 250 to 499 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 500 to 999 employees","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Individual proprietorships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Non-profit","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Partnerships","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","S-corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","Corporations","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kansas","722511","Full-service restaurants","All establishments","Establishments with 1,000 employees or more","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","S-corporations","All establishments","2016","1,158","23,955","86,091","373,992"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","All establishments","2016","420","4,440","13,407","57,946"
"Kentucky","722511","Full-service restaurants","Partnerships","All establishments","2016","532","15,284","55,126","249,097"
"Kentucky","722511","Full-service restaurants","All establishments","All establishments","2016","2,730","66,778","244,860","1,060,713"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2016","3","100 to 249 employees","D","D"
"Kentucky","722511","Full-service restaurants","Corporations","All establishments","2016","615","22,896","89,344","375,734"
"Kentucky","722511","Full-service restaurants","Non-profit","All establishments","2016","2","20 to 99 employees","D","D"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 1 to 4 employees","2016","630","922","3,165","41,032"
"Kentucky","722511","Full-service restaurants","S-corporations","Establishments with 1 to 4 employees","2016","195","307","1,156","13,476"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 1 to 4 employees","2016","200","337","933","6,282"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 1 to 4 employees","2016","127","117","445","12,478"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 1 to 4 employees","2016","1","0 to 19 employees","D","D"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 1 to 4 employees","2016","106","156","605","8,641"
"Kentucky","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2016","458","3,112","10,431","45,219"
"Kentucky","722511","Full-service restaurants","Corporations","Establishments with 5 to 9 employees","2016","73","486","1,849","7,878"
"Kentucky","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Non-profit","Establishments with 5 to 9 employees","2016","0","0","0","0"
"Kentucky","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2016","68","499","1,508","7,999"
"Kentucky","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2016","98","663","1,486","5,890"
