"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Legal form of organization code (LFO_LABEL)","Meaning of Employment size of establishments (EMPSZES_LABEL)","Year (YEAR)","Number of establishments (ESTAB)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)"
"District of Columbia","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","29","52,777","12,345","1,881"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","9","15,734","3,611","634"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","84","138,662","33,395","5,388"
"District of Columbia","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","41","147,074","36,178","5,576"
"District of Columbia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","20","70,161","16,633","2,735"
"District of Columbia","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","3","12,677","3,089","396"
"District of Columbia","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","16","57,529","14,731","2,223"
"District of Columbia","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","5","49,899","12,357","1,595"
"District of Columbia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2017","3","S","S","1,000 to 2,499 employees"
"Florida","722511","Full-service restaurants","All establishments","All establishments","2017","16,605","8,423,670","2,173,211","420,259"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","3,675","2,815,445","717,819","136,828"
"Florida","722511","Full-service restaurants","S-corporations ","All establishments","2017","8,693","3,485,068","904,532","175,015"
"Florida","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","1,031","349,839","89,582","20,215"
"Florida","722511","Full-service restaurants","Partnerships","All establishments","2017","3,184","1,753,581","456,302","87,235"
"Florida","722511","Full-service restaurants","Non-profit","All establishments","2017","12","2,622","701","189"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","10","17,115","4,275","777"
"Florida","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","4,608","307,487","35,047","7,513"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","920","54,778","6,838","1,493"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","2,359","142,312","20,878","4,246"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","452","28,371","2,552","691"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","871","81,715","4,709","1,071"
"Florida","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2017","6","311","70","12"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","2,254","280,009","70,670","15,395"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","342","42,026","10,759","2,296"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","1,425","175,493","45,254","9,692"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","148","13,959","3,891","1,006"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","338","48,390","10,714","2,396"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","2,968","743,422","194,827","41,845"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","441","113,917","29,108","6,410"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","1,888","485,504","127,032","26,374"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","135","26,625","7,139","1,859"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","502","116,577","31,341","7,162"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","4,007","2,377,802","632,505","127,548"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","838","530,952","138,381","28,539"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","2,147","1,264,606","335,207","66,166"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","140","67,276","18,504","4,426"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","878","512,742","139,862","28,267"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","2,198","2,983,592","792,536","147,244"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","857","1,219,479","316,675","57,962"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","711","924,799","247,944","46,237"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","139","175,385","46,195","9,720"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","483","651,024","178,438","32,707"
"Florida","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2017","7","12,052","3,053","548"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","541","1,495,423","382,440","70,660"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","259","698,377","176,886","33,749"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","159","451,283","116,774","20,913"
"Florida","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","16","33,355","8,452","2,120"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","106","309,053","79,516","13,737"
"Florida","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","27","216,826","60,374","8,970"
"Florida","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2017","16","136,807","34,360","5,295"
"Florida","722511","Full-service restaurants","S-corporations ","Establishments with 250 to 499 employees","2017","4","41,071","11,443","1,387"
"Florida","722511","Full-service restaurants","Partnerships","Establishments with 250 to 499 employees","2017","6","34,080","11,722","1,895"
"Georgia","722511","Full-service restaurants","All establishments","All establishments","2017","7,225","3,017,356","726,868","170,844"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","1,937","1,005,271","248,827","59,609"
"Georgia","722511","Full-service restaurants","S-corporations ","All establishments","2017","3,365","1,219,124","289,780","67,811"
"Georgia","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","710","199,579","48,465","11,697"
"Georgia","722511","Full-service restaurants","Partnerships","All establishments","2017","1,198","570,384","134,344","30,895"
"Georgia","722511","Full-service restaurants","Non-profit","All establishments","2017","5","S","S","20 to 99 employees"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","10","S","S","500 to 999 employees"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","1,725","107,710","12,391","2,843"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","343","22,393","2,910","642"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","730","45,601","5,758","1,270"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","357","12,894","1,948","579"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","292","26,748","1,760","349"
"Georgia","722511","Full-service restaurants","Non-profit","Establishments with less than 5 employees","2017","3","74","15","3"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","1,029","118,507","28,868","7,001"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","225","26,779","6,564","1,511"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","558","68,254","16,735","3,839"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","127","9,993","2,474","827"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","118","13,465","3,084","818"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","1,404","340,873","81,602","20,391"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","350","84,137","20,405","5,468"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","791","198,246","47,935","11,283"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","85","15,177","3,877","1,144"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","178","43,313","9,385","2,496"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","2,074","1,064,026","260,789","63,949"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","584","275,392","68,892","17,705"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","1,002","528,932","127,717","30,651"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","78","39,142","9,741","2,446"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","409","219,759","54,258","13,108"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","865","1,032,875","254,863","57,262"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","360","421,923","105,468","24,129"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","253","283,221","68,802","15,794"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","56","70,293","17,287","4,342"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","186","235,331","58,061","12,213"
"Georgia","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2017","10","S","S","500 to 999 employees"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","121","276,627","69,302","15,666"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","71","156,014","40,208","9,026"
"Georgia","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","29","75,375","18,151","3,997"
"Georgia","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","6","13,470","3,147","732"
"Georgia","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","15","31,768","7,796","1,911"
"Georgia","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","5","22,963","5,530","1,412"
"Georgia","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2017","4","18,633","4,380","1,128"
"Hawaii","722511","Full-service restaurants","All establishments","All establishments","2017","1,290","922,308","225,208","38,745"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","414","320,616","79,074","13,822"
"Hawaii","722511","Full-service restaurants","S-corporations ","All establishments","2017","435","268,394","65,554","11,319"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","152","53,822","13,137","2,418"
"Hawaii","722511","Full-service restaurants","Partnerships","All establishments","2017","285","274,897","66,309","10,987"
"Hawaii","722511","Full-service restaurants","Non-profit","All establishments","2017","4","4,579","1,134","199"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","240","21,948","2,129","433"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","68","9,544","631","118"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","72","4,411","819","150"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","55","2,398","404","103"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","45","5,595","275","62"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","201","29,069","7,299","1,393"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","63","9,559","2,496","443"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","79","13,058","3,084","542"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","35","3,479","982","232"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","24","2,973","737","176"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","256","66,872","16,930","3,558"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","78","23,029","5,785","1,126"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","91","24,412","6,159","1,263"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","27","5,784","1,582","361"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","60","13,647","3,404","808"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","340","234,465","58,797","10,839"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","124","84,675","21,465","3,923"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","121","82,922","21,027","3,768"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","23","13,620","3,486","690"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","71","52,480","12,634","2,426"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","189","307,100","76,039","12,979"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","52","87,366","22,109","3,717"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","59","91,345","21,397","3,886"
"Hawaii","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","10","19,748","4,688","784"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","65","104,830","26,896","4,425"
"Hawaii","722511","Full-service restaurants","Non-profit","Establishments with 50 to 99 employees","2017","3","3,811","949","167"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","59","208,350","50,594","7,786"
"Hawaii","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","27","88,974","22,166","3,789"
"Hawaii","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","12","34,329","8,204","1,304"
"Hawaii","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","18","76,254","18,229","2,445"
"Hawaii","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","5","54,504","13,420","1,757"
"Idaho","722511","Full-service restaurants","All establishments","All establishments","2017","1,290","413,170","94,998","24,401"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","176","99,104","23,196","5,991"
"Idaho","722511","Full-service restaurants","S-corporations ","All establishments","2017","540","184,869","42,397","10,494"
"Idaho","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","232","29,434","6,798","2,141"
"Idaho","722511","Full-service restaurants","Partnerships","All establishments","2017","340","99,146","22,444","5,705"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","302","15,770","1,504","438"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","18","1,089","86","22"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","100","6,299","449","132"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","94","3,113","515","155"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","89","5,232","454","129"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","237","21,156","5,159","1,669"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","14","1,267","348","88"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","82","8,995","2,098","595"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","69","4,653","1,176","458"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","72","6,241","1,537","528"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","307","67,108","15,207","4,319"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","34","5,909","1,407","523"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","155","37,426","8,555","2,175"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","41","6,691","1,505","534"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","77","17,082","3,740","1,087"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","335","170,810","41,097","10,309"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","67","32,475","7,989","2,080"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","165","83,731","19,735","4,966"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","22","8,451","2,073","614"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","81","46,153","11,300","2,649"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","97","108,516","25,201","6,152"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","35","38,959","8,971","2,271"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","34","38,013","9,125","2,119"
"Idaho","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","6","6,526","1,529","380"
"Idaho","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","21","24,438","5,413","1,312"
"Idaho","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","12","29,810","6,830","1,514"
"Idaho","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","8","19,405","4,395","1,007"
"Idaho","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","4","S","S","500 to 999 employees"
"Illinois","722511","Full-service restaurants","All establishments","All establishments","2017","9,762","4,193,510","978,441","209,637"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","2,414","1,164,999","278,911","58,730"
"Illinois","722511","Full-service restaurants","S-corporations ","All establishments","2017","4,905","1,649,524","390,918","88,136"
"Illinois","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","885","222,815","51,391","13,228"
"Illinois","722511","Full-service restaurants","Partnerships","All establishments","2017","1,553","1,155,816","257,112","49,529"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","4","319","99","13"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","2,729","204,047","19,520","4,635"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","732","39,993","5,212","1,227"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","1,276","76,658","10,713","2,332"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","402","14,947","2,030","699"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","315","72,130","1,486","369"
"Illinois","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2017","3","S","S","0 to 19 employees"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","1,637","183,115","43,406","11,159"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","438","47,836","11,372","2,957"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","881","103,771","24,801","6,041"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","163","13,861","3,083","1,105"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","154","17,610","4,120","1,050"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","1,909","434,410","106,032","26,761"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","407","91,764","22,719","5,703"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","1,117","266,960","64,451","15,798"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","132","20,982","5,071","1,757"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","253","54,704","13,791","3,503"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","2,359","1,387,997","337,648","75,436"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","421","269,886","65,739","14,162"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","1,304","715,553","172,587","39,639"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","120","67,710","16,609","3,844"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","514","334,848","82,713","17,791"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","899","1,180,147","286,035","59,389"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","324","419,889","102,745","21,722"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","282","345,219","85,011","18,228"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","52","61,827","14,464","3,577"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","241","353,212","83,815","15,862"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 100 to 249 employees","2017","220","751,380","172,507","29,388"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 100 to 249 employees","2017","86","265,623","63,349","11,095"
"Illinois","722511","Full-service restaurants","S-corporations ","Establishments with 100 to 249 employees","2017","45","141,363","33,355","6,098"
"Illinois","722511","Full-service restaurants","Individual proprietorships","Establishments with 100 to 249 employees","2017","15","38,862","9,054","1,949"
"Illinois","722511","Full-service restaurants","Partnerships","Establishments with 100 to 249 employees","2017","74","305,532","66,749","10,246"
"Illinois","722511","Full-service restaurants","All establishments","Establishments with 250 to 499 employees","2017","9","52,414","13,293","2,869"
"Illinois","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 250 to 499 employees","2017","6","S","S","1,000 to 2,499 employees"
"Indiana","722511","Full-service restaurants","All establishments","All establishments","2017","4,657","1,824,282","438,218","113,186"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","All establishments","2017","945","530,335","130,357","31,619"
"Indiana","722511","Full-service restaurants","S-corporations ","All establishments","2017","2,212","759,834","180,761","47,296"
"Indiana","722511","Full-service restaurants","Individual proprietorships","All establishments","2017","591","123,831","30,282","9,570"
"Indiana","722511","Full-service restaurants","Partnerships","All establishments","2017","894","398,587","94,203","24,217"
"Indiana","722511","Full-service restaurants","Non-profit","All establishments","2017","4","375","64","25"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","All establishments","2017","11","S","S","250 to 499 employees"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with less than 5 employees","2017","1,016","53,818","5,955","1,684"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with less than 5 employees","2017","171","9,183","1,309","332"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with less than 5 employees","2017","362","20,911","2,271","599"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with less than 5 employees","2017","247","8,286","1,395","459"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with less than 5 employees","2017","232","14,645","980","294"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with less than 5 employees","2017","3","S","S","0 to 19 employees"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 5 to 9 employees","2017","704","71,824","16,820","4,803"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 5 to 9 employees","2017","142","16,366","3,491","972"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 5 to 9 employees","2017","365","38,645","9,376","2,490"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 5 to 9 employees","2017","112","8,737","2,153","762"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 5 to 9 employees","2017","83","7,901","1,760","566"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 10 to 19 employees","2017","959","204,823","49,803","13,449"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 10 to 19 employees","2017","143","33,528","8,127","1,999"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 10 to 19 employees","2017","571","128,432","31,134","8,095"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 10 to 19 employees","2017","77","11,809","2,837","1,031"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 10 to 19 employees","2017","166","30,714","7,634","2,296"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 20 to 49 employees","2017","1,297","642,166","155,043","41,674"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 20 to 49 employees","2017","222","127,286","31,113","7,819"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 20 to 49 employees","2017","738","340,668","81,795","22,558"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 20 to 49 employees","2017","96","36,870","8,709","3,053"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 20 to 49 employees","2017","239","134,657","32,819","8,155"
"Indiana","722511","Full-service restaurants","All establishments","Establishments with 50 to 99 employees","2017","579","617,575","153,350","38,151"
"Indiana","722511","Full-service restaurants","C-corporations and other corporate legal forms of organization","Establishments with 50 to 99 employees","2017","218","235,527","60,040","14,209"
"Indiana","722511","Full-service restaurants","S-corporations ","Establishments with 50 to 99 employees","2017","150","159,490","38,886","9,802"
"Indiana","722511","Full-service restaurants","Individual proprietorships","Establishments with 50 to 99 employees","2017","53","46,634","11,485","3,496"
"Indiana","722511","Full-service restaurants","Partnerships","Establishments with 50 to 99 employees","2017","153","168,222","41,042","10,290"
"Indiana","722511","Full-service restaurants","Other noncorporate legal forms of organization","Establishments with 50 to 99 employees","2017","5","S","S","250 to 499 employees"
